text,canonical_form_1,category_1,severity_rating,severity_description,text_without_stopwords
shit licker,shit,bodily fluids / excrement,2.0,Strong,shitlicker
shitsful,shit,bodily fluids / excrement,1.0,Mild,shitsful
dipshidiot,shit,bodily fluids / excrement,1.6,Strong,dipshidiot
man seed,man seed,bodily fluids / excrement,1.0,Mild,manseed
shat,shit,bodily fluids / excrement,1.2,Mild,shat
muddafukkas,motherfucker,sexual anatomy / sexual acts,3.0,Severe,muddafukkas
bitches,bitch,sexual orientation / gender,1.6,Strong,bitches
sh1tty,shit,bodily fluids / excrement,1.2,Mild,sh1tty
fuckshit,fuck,sexual anatomy / sexual acts,2.4,Strong,fuckshit
arsefuck,fuck,sexual anatomy / sexual acts,2.8,Severe,arsefuck
l@dyboy,ladyboy,sexual orientation / gender,2.0,Strong,l@dyboy
cholo,cholo,racial / ethnic slurs,1.6,Strong,cholo
dick-face,dick,sexual anatomy / sexual acts,1.8,Strong,dick-face
funbags,funbags,sexual anatomy / sexual acts,1.0,Mild,funbags
cyberfcks,fuck,sexual anatomy / sexual acts,2.4,Strong,cyberfcks
pu$sy,pussy,sexual anatomy / sexual acts,1.6,Strong,pu$sy
fuckwad,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckwad
pedos,pedophile,other / general insult,2.4,Strong,pedos
assfucker,fuck,sexual anatomy / sexual acts,2.8,Severe,assfucker
bugger,bugger,sexual anatomy / sexual acts,1.2,Mild,bugger
axe wound,wound,sexual anatomy / sexual acts,1.2,Mild,axewound
fuk1ng,fuck,sexual anatomy / sexual acts,2.2,Strong,fuk1ng
jizzing,jizz,bodily fluids / excrement,1.6,Strong,jizzing
bastinado,bastard,other / general insult,1.8,Strong,bastinado
pricks,prick,sexual anatomy / sexual acts,1.0,Mild,pricks
nuggets,nigger,racial / ethnic slurs,1.2,Mild,nuggets
bullshite,shit,bodily fluids / excrement,1.0,Mild,bullshite
nigre,nigger,racial / ethnic slurs,3.0,Severe,nigre
shitty mofoes,shit,bodily fluids / excrement,1.6,Strong,shittymofoes
g0ddamned,damn,religious offense,1.6,Strong,g0ddamned
prick-face,prick,sexual anatomy / sexual acts,1.2,Mild,prick-face
shi+y,shit,bodily fluids / excrement,1.0,Mild,shi+y
trasherbitch,bitch,sexual orientation / gender,1.4,Mild,trasherbitch
ass-fuckers,fuck,sexual anatomy / sexual acts,2.6,Severe,ass-fuckers
fuc,fuck,sexual anatomy / sexual acts,1.6,Strong,fuc
phuq,fuck,sexual anatomy / sexual acts,2.2,Strong,phuq
cock jockey,cock,sexual anatomy / sexual acts,2.4,Strong,cockjockey
kiss my ass,ass,sexual anatomy / sexual acts,1.6,Strong,kissass
wanker,wank,sexual anatomy / sexual acts,1.0,Mild,wanker
buttfuckers,fuck,sexual anatomy / sexual acts,3.0,Severe,buttfuckers
knobed,knob,sexual anatomy / sexual acts,1.4,Mild,knobed
fucker off,fuck,sexual anatomy / sexual acts,2.0,Strong,fucker
cunnilingus,cunnilingus,sexual anatomy / sexual acts,2.0,Strong,cunnilingus
bollockchops,bollocks,sexual anatomy / sexual acts,1.2,Mild,bollockchops
fucktard,fuck,sexual anatomy / sexual acts,2.8,Severe,fucktard
bum-bandits,bum,sexual orientation / gender,1.8,Strong,bum-bandits
bitchness,bitch,sexual orientation / gender,1.6,Strong,bitchness
shiddick,shit,sexual anatomy / sexual acts,2.0,Strong,shiddick
cocksuccer,cock,sexual anatomy / sexual acts,2.2,Strong,cocksuccer
feck,fuck,sexual anatomy / sexual acts,1.6,Strong,feck
coolie,coolie,racial / ethnic slurs,1.8,Strong,coolie
mothafuckings,motherfucker,sexual anatomy / sexual acts,2.8,Severe,mothafuckings
wop,wop,racial / ethnic slurs,2.4,Strong,wop
forked,fuck,sexual anatomy / sexual acts,1.0,Mild,forked
knobjokey,knob,sexual orientation / gender,2.6,Severe,knobjokey
spunk,spunk,bodily fluids / excrement,1.2,Mild,spunk
phagot,faggot,sexual orientation / gender,3.0,Severe,phagot
cock rider,cock,sexual anatomy / sexual acts,2.4,Strong,cockrider
pusslicker,pussy,sexual anatomy / sexual acts,2.2,Strong,pusslicker
gayness,gay,sexual orientation / gender,1.4,Mild,gayness
cock sucking nob jokeys,cock,sexual anatomy / sexual acts,2.8,Severe,cocksuckingnobjokeys
knob,knob,sexual anatomy / sexual acts,1.4,Mild,knob
fucking hell,fuck,sexual anatomy / sexual acts,2.0,Strong,fuckinghell
cock-face,cock,sexual anatomy / sexual acts,2.2,Strong,cock-face
arse gobbler,arse,sexual anatomy / sexual acts,2.0,Strong,arsegobbler
shittydicks,shit,sexual anatomy / sexual acts,2.0,Strong,shittydicks
fkings,fuck,sexual anatomy / sexual acts,1.8,Strong,fkings
girly bits,girly bits,sexual anatomy / sexual acts,1.0,Mild,girlybits
b1tch1ng,bitch,sexual orientation / gender,1.2,Mild,b1tch1ng
motherfcking,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfcking
buttermilk,buttermilk,racial / ethnic slurs,1.4,Mild,buttermilk
godd@amn,damn,religious offense,1.4,Mild,godd@amn
fuckwhore,fuck,sexual anatomy / sexual acts,2.6,Severe,fuckwhore
gay fucker,fuck,sexual anatomy / sexual acts,2.8,Severe,gayfucker
mindfuck,motherfucker,sexual anatomy / sexual acts,2.2,Strong,mindfuck
kiss ass,ass,sexual anatomy / sexual acts,1.0,Mild,kissass
jiggabooboo,jiggaboo,racial / ethnic slurs,2.4,Strong,jiggabooboo
cawkmuncher,cock,sexual anatomy / sexual acts,2.2,Strong,cawkmuncher
s.o.b.s,bitch,other / general insult,1.6,Strong,s.o.b.s
fuckfaces,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckfaces
greaser,greaser,racial / ethnic slurs,1.0,Mild,greaser
dogshits,shit,bodily fluids / excrement,1.4,Mild,dogshits
phuks,fuck,sexual anatomy / sexual acts,2.2,Strong,phuks
shiat,shit,bodily fluids / excrement,1.0,Mild,shiat
dild0,dildo,sexual anatomy / sexual acts,1.0,Mild,dild0
muthafuckings,motherfucker,sexual anatomy / sexual acts,3.0,Severe,muthafuckings
palm jockey,palm jockey,sexual anatomy / sexual acts,1.2,Mild,palmjockey
finger fuck,fuck,sexual anatomy / sexual acts,2.6,Severe,fingerfuck
4r5ed,arse,sexual anatomy / sexual acts,1.4,Mild,4r5ed
cocksuck,cock,sexual anatomy / sexual acts,2.2,Strong,cocksuck
fuckhead,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckhead
wanks,wank,sexual anatomy / sexual acts,1.0,Mild,wanks
shi+e,shit,bodily fluids / excrement,1.0,Mild,shi+e
beyoch,bitch,sexual orientation / gender,1.2,Mild,beyoch
pole sucker,pole sucker,sexual anatomy / sexual acts,1.8,Strong,polesucker
penisfcker,penis,sexual anatomy / sexual acts,3.0,Severe,penisfcker
crow,crow,animal references,1.0,Mild,crow
cooter shooting,coot,sexual anatomy / sexual acts,2.6,Severe,cootershooting
skanks,skank,sexual orientation / gender,1.2,Mild,skanks
shit-stuffers,shit,sexual anatomy / sexual acts,1.8,Strong,shit-stuffers
cobb knobbler,knob,sexual anatomy / sexual acts,1.8,Strong,cobbknobbler
dick nibbler,dick,sexual anatomy / sexual acts,2.4,Strong,dicknibbler
nigra,nigger,racial / ethnic slurs,2.8,Severe,nigra
fuker,fuck,sexual anatomy / sexual acts,2.2,Strong,fuker
choad nectar,choad,bodily fluids / excrement,2.0,Strong,choadnectar
nonce,nonce,other / general insult,1.4,Mild,nonce
asses,ass,sexual anatomy / sexual acts,1.0,Mild,asses
anus,anus,sexual anatomy / sexual acts,1.0,Mild,anus
cooter,coot,sexual anatomy / sexual acts,1.2,Mild,cooter
c*ntface,cunt,sexual anatomy / sexual acts,3.0,Severe,c*ntface
assmuncher,ass,sexual anatomy / sexual acts,2.2,Strong,assmuncher
mofoshit,motherfucker,sexual anatomy / sexual acts,2.2,Strong,mofoshit
motherfucker,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfucker
b1tchez,bitch,sexual orientation / gender,1.2,Mild,b1tchez
chocha,chocha,sexual anatomy / sexual acts,2.4,Strong,chocha
stupidasses,ass,sexual anatomy / sexual acts,1.0,Mild,stupidasses
fudgepackershitter,fudge packer,sexual anatomy / sexual acts,3.0,Severe,fudgepackershitter
shitassfuckface,fuck,sexual anatomy / sexual acts,2.8,Severe,shitassfuckface
pussy licker,pussy,sexual anatomy / sexual acts,2.4,Strong,pussylicker
god damnit,damn,religious offense,2.2,Strong,goddamnit
gay fuck,fuck,sexual orientation / gender,2.6,Severe,gayfuck
fuck up,fuck,sexual anatomy / sexual acts,1.8,Strong,fuck
jiggs,jiggaboo,racial / ethnic slurs,2.6,Severe,jiggs
pussless,pussy,sexual anatomy / sexual acts,2.0,Strong,pussless
nikker,nigger,racial / ethnic slurs,2.8,Severe,nikker
nobs,knob,sexual anatomy / sexual acts,1.2,Mild,nobs
trashybitches,bitch,sexual orientation / gender,1.8,Strong,trashybitches
fatass,ass,sexual anatomy / sexual acts,1.2,Mild,fatass
bull shit,shit,bodily fluids / excrement,1.0,Mild,bullshit
mothafuckaz,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mothafuckaz
sh1s,shit,bodily fluids / excrement,1.0,Mild,sh1s
fuckster,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckster
fuckface,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckface
shitedick,shit,sexual anatomy / sexual acts,2.0,Strong,shitedick
shitfck,shit,sexual anatomy / sexual acts,2.4,Strong,shitfck
l3i+ch,bitch,sexual orientation / gender,1.2,Mild,l3i+ch
retardotron,retard,mental disability,1.8,Strong,retardotron
mtherfuker,motherfucker,sexual anatomy / sexual acts,3.0,Severe,mtherfuker
m0fo,motherfucker,sexual anatomy / sexual acts,2.6,Severe,m0fo
scut,scut,other / general insult,1.0,Mild,scut
butt fucker,fuck,sexual anatomy / sexual acts,3.0,Severe,buttfucker
cyberfck,fuck,sexual anatomy / sexual acts,2.2,Strong,cyberfck
nympho,nymph,sexual anatomy / sexual acts,1.0,Mild,nympho
f'ed,fuck,sexual anatomy / sexual acts,1.8,Strong,f'ed
pedophl,pedophile,sexual anatomy / sexual acts,2.2,Strong,pedophl
faggo,faggot,sexual orientation / gender,2.8,Severe,faggo
motha fucka,motherfucker,sexual anatomy / sexual acts,2.8,Severe,mothafucka
peter puffer,peter puffer,sexual orientation / gender,1.8,Strong,peterpuffer
nigga,nigger,racial / ethnic slurs,2.8,Severe,nigga
faggs,faggot,sexual orientation / gender,3.0,Severe,faggs
cyberfukks,fuck,sexual anatomy / sexual acts,2.2,Strong,cyberfukks
fckyeah,fuck,other / general insult,1.6,Strong,fckyeah
shitfacefucker,fuck,sexual anatomy / sexual acts,2.6,Severe,shitfacefucker
bangbros,bang,sexual anatomy / sexual acts,1.6,Strong,bangbros
bollocks,bollocks,sexual anatomy / sexual acts,1.2,Mild,bollocks
sh!+,shit,bodily fluids / excrement,1.0,Mild,sh!+
beat off,beat off,sexual anatomy / sexual acts,1.2,Mild,beat
3jakulating,ejaculation,sexual anatomy / sexual acts,1.6,Strong,3jakulating
m0ngoloid,mongoloid,racial / ethnic slurs,2.2,Strong,m0ngoloid
trousersnake,trousersnake,sexual anatomy / sexual acts,1.4,Mild,trousersnake
muff,muff,sexual anatomy / sexual acts,1.4,Mild,muff
shitheads,shit,bodily fluids / excrement,1.8,Strong,shitheads
nigg@s,nigger,racial / ethnic slurs,2.8,Severe,nigg@s
phukhead,fuck,sexual anatomy / sexual acts,2.4,Strong,phukhead
window licker,window licker,mental disability,1.8,Strong,windowlicker
fudgepacker,fudge packer,sexual orientation / gender,2.4,Strong,fudgepacker
jackoffz,jack off,sexual anatomy / sexual acts,1.6,Strong,jackoffz
jackasss,ass,animal references,1.2,Mild,jackasss
m0thafucker,motherfucker,sexual anatomy / sexual acts,3.0,Severe,m0thafucker
fatasses,ass,sexual anatomy / sexual acts,1.2,Mild,fatasses
pigfucking,fuck,sexual anatomy / sexual acts,2.6,Severe,pigfucking
shiesterfuckface,fuck,sexual anatomy / sexual acts,2.8,Severe,shiesterfuckface
mothafuccing,motherfucker,sexual anatomy / sexual acts,3.0,Severe,mothafuccing
pillow biter,pillow biter,sexual anatomy / sexual acts,2.4,Strong,pillowbiter
jerkoffs,jerk off,sexual anatomy / sexual acts,1.2,Mild,jerkoffs
nickas,nigger,racial / ethnic slurs,2.8,Severe,nickas
shitfuckhead,fuck,other / general insult,2.6,Severe,shitfuckhead
4skin,foreskin,sexual anatomy / sexual acts,1.0,Mild,4skin
hoe-asses,hoe,sexual orientation / gender,2.2,Strong,hoe-asses
horse's asses,ass,sexual anatomy / sexual acts,1.4,Mild,horse'sasses
towelhead,towelhead,racial / ethnic slurs,3.0,Severe,towelhead
packsomefudgefucker,fudge packer,sexual anatomy / sexual acts,2.4,Strong,packsomefudgefucker
double dicking,dick,sexual anatomy / sexual acts,2.2,Strong,doubledicking
cockheads,cock,sexual anatomy / sexual acts,2.4,Strong,cockheads
s_h_i_,shit,bodily fluids / excrement,1.2,Mild,s_h_i_
coot,coot,sexual anatomy / sexual acts,1.6,Strong,coot
ass muncher,ass,sexual anatomy / sexual acts,2.2,Strong,assmuncher
jerk off,jerk off,sexual anatomy / sexual acts,1.0,Mild,jerk
cawksucker,cock,sexual anatomy / sexual acts,2.6,Severe,cawksucker
wh0r3,whore,sexual orientation / gender,2.0,Strong,wh0r3
pancake face,pancake face,racial / ethnic slurs,1.6,Strong,pancakeface
vulva,vulva,sexual anatomy / sexual acts,1.0,Mild,vulva
dicksucker,dick,sexual anatomy / sexual acts,2.2,Strong,dicksucker
ladiboy,ladyboy,sexual orientation / gender,2.2,Strong,ladiboy
bizzach,bitch,sexual orientation / gender,1.6,Strong,bizzach
bitchin',bitch,other / general insult,1.0,Mild,bitchin'
fukker,fuck,sexual anatomy / sexual acts,2.0,Strong,fukker
klan,klan,racial / ethnic slurs,1.8,Strong,klan
mfs,motherfucker,sexual anatomy / sexual acts,2.2,Strong,mfs
fucking A,fuck,sexual anatomy / sexual acts,2.4,Strong,fucking
g@ylord,gay,sexual orientation / gender,1.8,Strong,g@ylord
fukkings,fuck,sexual anatomy / sexual acts,2.0,Strong,fukkings
nymphomaniac,nymph,other / general insult,1.4,Mild,nymphomaniac
fukked,fuck,sexual anatomy / sexual acts,2.0,Strong,fukked
fukk,fuck,sexual anatomy / sexual acts,2.0,Strong,fukk
mothafucked,motherfucker,sexual anatomy / sexual acts,2.8,Severe,mothafucked
asshole,ass,sexual anatomy / sexual acts,1.2,Mild,asshole
mofcker,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mofcker
fcuk,fuck,sexual anatomy / sexual acts,2.0,Strong,fcuk
breasticles,breast,sexual anatomy / sexual acts,1.4,Mild,breasticles
mofo ass,motherfucker,sexual anatomy / sexual acts,2.4,Strong,mofoass
dog fuck,fuck,sexual anatomy / sexual acts,2.8,Severe,dogfuck
chinky,chink,racial / ethnic slurs,3.0,Severe,chinky
dlck,dick,sexual anatomy / sexual acts,1.2,Mild,dlck
cawk,cock,sexual anatomy / sexual acts,1.4,Mild,cawk
sumbitch,bitch,sexual orientation / gender,1.6,Strong,sumbitch
mofucker,motherfucker,other / general insult,2.0,Strong,mofucker
bitchtits,bitch,sexual anatomy / sexual acts,2.2,Strong,bitchtits
mothafuckin,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mothafuckin
fucked,fuck,sexual anatomy / sexual acts,1.8,Strong,fucked
basterd,bastard,other / general insult,1.0,Mild,basterd
mothafuck,motherfucker,sexual anatomy / sexual acts,2.8,Severe,mothafuck
shitti,shit,bodily fluids / excrement,1.0,Mild,shitti
nigs,nigger,racial / ethnic slurs,2.8,Severe,nigs
assfukka,fuck,sexual anatomy / sexual acts,2.8,Severe,assfukka
s.o.b.,bitch,other / general insult,1.2,Mild,s.o.b.
nigg@zzes,nigger,racial / ethnic slurs,2.8,Severe,nigg@zzes
feck arse,arse,sexual anatomy / sexual acts,2.2,Strong,feckarse
spik,spic,racial / ethnic slurs,3.0,Severe,spik
cuntless,cunt,sexual anatomy / sexual acts,2.8,Severe,cuntless
jackoff,jack off,sexual anatomy / sexual acts,2.0,Strong,jackoff
puss,pussy,sexual anatomy / sexual acts,1.4,Mild,puss
analingus,anal,sexual anatomy / sexual acts,1.6,Strong,analingus
dumbass mothafuckers,motherfucker,sexual anatomy / sexual acts,2.8,Severe,dumbassmothafuckers
fuggerz,fuck,sexual anatomy / sexual acts,2.6,Severe,fuggerz
knobeads,knob,sexual anatomy / sexual acts,1.4,Mild,knobeads
beat my meat,meat,sexual anatomy / sexual acts,1.2,Mild,beatmeat
turdhead,turd,bodily fluids / excrement,1.6,Strong,turdhead
chesticles,testicles,sexual anatomy / sexual acts,1.0,Mild,chesticles
scumfucker,fuck,sexual anatomy / sexual acts,2.8,Severe,scumfucker
shitbag,shit,bodily fluids / excrement,2.0,Strong,shitbag
sperm,sperm,bodily fluids / excrement,1.0,Mild,sperm
muthafuckkers,motherfucker,sexual anatomy / sexual acts,2.8,Severe,muthafuckkers
jizzstain,jizz,bodily fluids / excrement,2.8,Severe,jizzstain
zipperhead,zipperhead,racial / ethnic slurs,2.4,Strong,zipperhead
n3gro,negro,racial / ethnic slurs,2.4,Strong,n3gro
phuqs,fuck,sexual anatomy / sexual acts,1.8,Strong,phuqs
ass-fucker,fuck,sexual anatomy / sexual acts,2.8,Severe,ass-fucker
pussylickers,pussy,sexual anatomy / sexual acts,2.8,Severe,pussylickers
shitsdick,shit,sexual anatomy / sexual acts,1.8,Strong,shitsdick
nigg@,nigger,racial / ethnic slurs,2.8,Severe,nigg@
n0bj0cky,knob,sexual anatomy / sexual acts,2.4,Strong,n0bj0cky
fooker,fuck,sexual anatomy / sexual acts,1.8,Strong,fooker
fvck you,fuck,sexual anatomy / sexual acts,2.2,Strong,fvck
69,69,sexual anatomy / sexual acts,1.0,Mild,69
weenie,weenie,sexual anatomy / sexual acts,1.0,Mild,weenie
phucked,fuck,sexual anatomy / sexual acts,2.0,Strong,phucked
throat yogurt,throat yogurt,bodily fluids / excrement,1.8,Strong,throatyogurt
fked,fuck,sexual anatomy / sexual acts,2.0,Strong,fked
c00nies,coon,racial / ethnic slurs,2.6,Severe,c00nies
negro,negro,racial / ethnic slurs,2.0,Strong,negro
shitey,shit,bodily fluids / excrement,1.2,Mild,shitey
pedoz,pedophile,sexual anatomy / sexual acts,2.0,Strong,pedoz
double dick,dick,sexual anatomy / sexual acts,1.6,Strong,doubledick
assfukker,fuck,sexual anatomy / sexual acts,2.6,Severe,assfukker
fvcka,fuck,sexual anatomy / sexual acts,2.0,Strong,fvcka
assfukah,fuck,sexual anatomy / sexual acts,2.4,Strong,assfukah
ass fucking boiolas,fuck,sexual anatomy / sexual acts,2.6,Severe,assfuckingboiolas
arse-fucker,fuck,sexual anatomy / sexual acts,2.6,Severe,arse-fucker
arse-bandits,arse,sexual anatomy / sexual acts,2.2,Strong,arse-bandits
fag bag,faggot,sexual orientation / gender,2.8,Severe,fagbag
doggo style,doggy style,sexual anatomy / sexual acts,1.2,Mild,doggostyle
bitch3s,bitch,sexual orientation / gender,1.2,Mild,bitch3s
hoe,hoe,sexual orientation / gender,2.0,Strong,hoe
double-dong,dong,sexual anatomy / sexual acts,1.4,Mild,double-dong
shits,shit,bodily fluids / excrement,1.0,Mild,shits
jerk-0ff,jerk off,sexual anatomy / sexual acts,1.2,Mild,jerk-0ff
bastid,bastard,other / general insult,1.2,Mild,bastid
phukk,fuck,sexual anatomy / sexual acts,1.8,Strong,phukk
darkfuck,fuck,sexual anatomy / sexual acts,2.4,Strong,darkfuck
tossing salad,tossing salad,sexual anatomy / sexual acts,1.8,Strong,tossingsalad
fuckshitface,fuck,sexual anatomy / sexual acts,2.4,Strong,fuckshitface
ape shit,ape,bodily fluids / excrement,1.6,Strong,apeshit
penishead,penis,sexual anatomy / sexual acts,1.4,Mild,penishead
Fckk,fuck,sexual anatomy / sexual acts,2.2,Strong,Fckk
assfvck3r,fuck,sexual anatomy / sexual acts,3.0,Severe,assfvck3r
fuking,fuck,sexual anatomy / sexual acts,2.0,Strong,fuking
jerk-off,jerk off,sexual anatomy / sexual acts,1.2,Mild,jerk-off
coon,coon,racial / ethnic slurs,3.0,Severe,coon
nicka,nigger,racial / ethnic slurs,2.6,Severe,nicka
nigasses,nigger,racial / ethnic slurs,3.0,Severe,nigasses
slanteyes,slant eye,racial / ethnic slurs,3.0,Severe,slanteyes
punk ass mofoes,motherfucker,sexual anatomy / sexual acts,2.8,Severe,punkassmofoes
dipshit,shit,bodily fluids / excrement,1.4,Mild,dipshit
arse-fuckers,fuck,sexual anatomy / sexual acts,2.6,Severe,arse-fuckers
sh3mal3,shemale,sexual orientation / gender,2.6,Severe,sh3mal3
dipsh1t,shit,mental disability,1.6,Strong,dipsh1t
dirty sanchez,dirty sanchez,sexual anatomy / sexual acts,2.4,Strong,dirtysanchez
sh1tt,shit,bodily fluids / excrement,1.0,Mild,sh1tt
taking the piss,taking the piss,bodily fluids / excrement,1.0,Mild,takingpiss
jiggabu,jiggaboo,racial / ethnic slurs,3.0,Severe,jiggabu
s-lut,slut,sexual orientation / gender,1.8,Strong,s-lut
negroes,negro,racial / ethnic slurs,2.6,Severe,negroes
dolt,dolt,mental disability,1.0,Mild,dolt
d1ckhead,dick,sexual anatomy / sexual acts,1.8,Strong,d1ckhead
beat your meat,meat,sexual anatomy / sexual acts,1.4,Mild,beatmeat
phuku,fuck,sexual anatomy / sexual acts,2.2,Strong,phuku
wang wrangler,wang,sexual anatomy / sexual acts,2.0,Strong,wangwrangler
spics,spic,racial / ethnic slurs,2.8,Severe,spics
dick-gobbler,dick,sexual anatomy / sexual acts,1.8,Strong,dick-gobbler
bitchass,bitch,sexual orientation / gender,1.6,Strong,bitchass
slanteye b1tch,bitch,racial / ethnic slurs,2.6,Severe,slanteyeb1tch
nigg3rs,nigger,racial / ethnic slurs,3.0,Severe,nigg3rs
fck,fuck,sexual anatomy / sexual acts,2.4,Strong,fck
phuk,fuck,sexual anatomy / sexual acts,2.0,Strong,phuk
penisfucker,fuck,sexual anatomy / sexual acts,3.0,Severe,penisfucker
peckerhead,pecker,sexual anatomy / sexual acts,1.6,Strong,peckerhead
crotch,crotch,sexual anatomy / sexual acts,1.0,Mild,crotch
fccuker,fuck,sexual anatomy / sexual acts,2.0,Strong,fccuker
carpetmuncher,carpet muncher,sexual anatomy / sexual acts,2.6,Severe,carpetmuncher
puzzy,pussy,sexual anatomy / sexual acts,1.2,Mild,puzzy
ar5ehole,arse,sexual anatomy / sexual acts,1.4,Mild,ar5ehole
fagging,faggot,sexual orientation / gender,3.0,Severe,fagging
n1gg3r,nigger,racial / ethnic slurs,3.0,Severe,n1gg3r
knickers,nigger,racial / ethnic slurs,1.8,Strong,knickers
m0thafucked,motherfucker,sexual anatomy / sexual acts,3.0,Severe,m0thafucked
fucker,fuck,sexual anatomy / sexual acts,2.2,Strong,fucker
mushroom tip,mushroom tip,sexual anatomy / sexual acts,1.4,Mild,mushroomtip
muffdiving,muff,sexual anatomy / sexual acts,2.0,Strong,muffdiving
BJ,blowjob,sexual anatomy / sexual acts,1.6,Strong,BJ
bollox,bollocks,sexual anatomy / sexual acts,1.0,Mild,bollox
dick milker,dick,sexual anatomy / sexual acts,2.2,Strong,dickmilker
fuccers,fuck,sexual anatomy / sexual acts,2.2,Strong,fuccers
homo asses,homosexual,sexual anatomy / sexual acts,2.8,Severe,homoasses
gaytard,gay,sexual orientation / gender,2.8,Severe,gaytard
motherfacking,motherfucker,sexual anatomy / sexual acts,2.4,Strong,motherfacking
goddamn son of a bitch,damn,religious offense,2.2,Strong,goddamnsonbitch
mof0es,motherfucker,sexual anatomy / sexual acts,2.2,Strong,mof0es
groper,grope,sexual anatomy / sexual acts,1.4,Mild,groper
chingchong,chingchong,racial / ethnic slurs,2.8,Severe,chingchong
mufdive,muff,sexual anatomy / sexual acts,1.8,Strong,mufdive
mfk,motherfucker,sexual anatomy / sexual acts,1.6,Strong,mfk
shemales,shemale,sexual orientation / gender,1.8,Strong,shemales
jizzed,jizz,bodily fluids / excrement,2.0,Strong,jizzed
mothafuckz,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mothafuckz
piggyfuck,fuck,sexual anatomy / sexual acts,3.0,Severe,piggyfuck
fart-fucker,fuck,sexual anatomy / sexual acts,2.2,Strong,fart-fucker
dogsh1ts,shit,bodily fluids / excrement,1.0,Mild,dogsh1ts
kiddy touch,kidtoucher,sexual anatomy / sexual acts,1.8,Strong,kiddytouch
b1otch,bitch,sexual orientation / gender,1.4,Mild,b1otch
packing fudge,fudge packer,sexual anatomy / sexual acts,2.4,Strong,packingfudge
lady-boy,ladyboy,sexual orientation / gender,2.6,Severe,lady-boy
finger,finger,sexual anatomy / sexual acts,1.0,Mild,finger
stfu,fuck,sexual anatomy / sexual acts,1.8,Strong,stfu
douche,douche,sexual anatomy / sexual acts,1.0,Mild,douche
muthafuckers,motherfucker,sexual anatomy / sexual acts,3.0,Severe,muthafuckers
shites,shit,bodily fluids / excrement,1.0,Mild,shites
fuck you,fuck,sexual anatomy / sexual acts,2.4,Strong,fuck
asswhole,ass,sexual anatomy / sexual acts,1.4,Mild,asswhole
s_h_i_s,shit,bodily fluids / excrement,1.0,Mild,s_h_i_s
anal hole,anal,sexual anatomy / sexual acts,2.2,Strong,analhole
slut,slut,sexual orientation / gender,2.0,Strong,slut
phucc,fuck,sexual anatomy / sexual acts,2.0,Strong,phucc
futhamucka,motherfucker,sexual anatomy / sexual acts,2.6,Severe,futhamucka
dago,dago,racial / ethnic slurs,2.2,Strong,dago
jiggyboo,jiggaboo,racial / ethnic slurs,3.0,Severe,jiggyboo
f0ck,fuck,sexual anatomy / sexual acts,2.0,Strong,f0ck
f0ckers,fuck,sexual anatomy / sexual acts,2.2,Strong,f0ckers
sheet,shit,bodily fluids / excrement,1.0,Mild,sheet
jackarse,arse,sexual anatomy / sexual acts,1.0,Mild,jackarse
knobhead,knob,sexual anatomy / sexual acts,1.6,Strong,knobhead
ar5e,arse,sexual anatomy / sexual acts,1.0,Mild,ar5e
dumbass,ass,mental disability,1.4,Mild,dumbass
p3nisfcukers,fuck,sexual anatomy / sexual acts,2.8,Severe,p3nisfcukers
gaysian,gay,sexual orientation / gender,2.6,Severe,gaysian
m0f0s,motherfucker,other / general insult,2.4,Strong,m0f0s
coonie,coon,racial / ethnic slurs,2.8,Severe,coonie
cocks,cock,sexual anatomy / sexual acts,1.6,Strong,cocks
fudgepackers,fudge packer,sexual anatomy / sexual acts,2.2,Strong,fudgepackers
shemale,shemale,sexual orientation / gender,2.6,Severe,shemale
skank,skank,sexual orientation / gender,1.8,Strong,skank
cum goon,cum,sexual anatomy / sexual acts,2.0,Strong,cumgoon
rectum,rectum,sexual anatomy / sexual acts,1.0,Mild,rectum
shiesterfuckhead,fuck,sexual anatomy / sexual acts,2.2,Strong,shiesterfuckhead
doosh,douche,bodily fluids / excrement,1.4,Mild,doosh
dipsh1tty,shit,bodily fluids / excrement,1.6,Strong,dipsh1tty
sh! +,shit,bodily fluids / excrement,1.2,Mild,sh!+
cameltoe,cameltoe,sexual anatomy / sexual acts,1.2,Mild,cameltoe
dumbass mofoes,ass,sexual anatomy / sexual acts,2.4,Strong,dumbassmofoes
mutherfucker,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mutherfucker
bitched,bitch,sexual orientation / gender,1.2,Mild,bitched
mothafuckers,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mothafuckers
motherfukkings,motherfucker,sexual anatomy / sexual acts,2.6,Severe,motherfukkings
shylock,shylock,racial / ethnic slurs,1.6,Strong,shylock
